Session Number,Scenario Number (within session) ,"Scenario Type                   (REMEMBER: 7 positive, 2 resilience, 1 negative) ",Broad Domain 1,Broad Domain 2,Broad Domain 3,Hoos TC Title ,Staff scenario body,Staff scenario body #2 (negation scenarios only),Staff comprehension question,Staff correct response,Staff incorrect response,Staff photo link,Letters Missing,Occurrence
,5,Positive,Social Situations,,,A Homemade Gift,"Your friend is having a huge birthday party with all of your friends attending. You know you can't afford a gift for your friend. You show up with a homemade card, your friend is thankful.",N/A,Is your friend sad you did not bring a present?,No,,https://drive.google.com/file/d/1UoBTJwOaRbMpWrYnOWNPOBzR-axREE4s/view?usp=sharing,2,1
,6,Positive,Social Situations,,,Your Birthday Party,"Your best friend is organizing a birthday party for you at their home. They invited a lot of people who will all be there for you. When you think about all of the people coming, you feel excited.",N/A,Are you excited about having people there to celebrate your birthday?,Yes,,https://drive.google.com/file/d/1UoBTJwOaRbMpWrYnOWNPOBzR-axREE4s/view?usp=sharing,2,1
,7,Negative,Social Situations,Academics/Work/Career Development,,Fundraiser presentation,"You are put in charge of your office's fundraising efforts and quickly realize that your coworkers are not very interested in the fundraising. At a meeting, you give a presentation about the importance of helping with the fundraising, during which your coworkers remain quiet. As you sit down after your presentation, you think they seemed bored.",N/A,The coworkers are probably thinking ...,That they don't want to help you with the fundraiser.  ,That they want to help you with the fundraiser.  ,https://drive.google.com/file/d/1r3qtHj-urHxM3pju6-ipIBlJU-tXgwex/view?usp=sharing,2,3
,8,Positive,Social Situations,Academics/Work/Career Development,,Group Project Due,"You are working on a very important team project. The project deadline is soon, and your colleagues still haven't completed their portion, and you wonder if you should complete their part. You reach out to them, conveying your concerns about the deadline and workload, and they begin working in a timely manner.",N/A,Your colleagues are likely...,Grateful that you politely communicated your concerns over their contribution. ,Annoyed that you're telling them what to do. ,https://drive.google.com/file/d/1ZodO1F5ZuiDVjiFxjsv5k2GCuLpQwIRf/view?usp=sharing,2,2
,9,Resilience/Negation,Social Situations,,,Feeling Excluded by Friends,"As you hang around after work, you hear that some coworkers went out to dinner without you last night. You didn't get an invite to hang out with them. You realize that sometimes your coworkers hang out without you and you feel excluded.","You don't like being left out. But, you decide that you can tolerate this feeling.",Can you handle that sometimes your coworkers go out without you?,Yes,,https://drive.google.com/file/d/1V3qcOIHvtf7LmQss0ruGtHPfIMlyIauX/view?usp=sharing,2,1
,10,Positive,Social Situations,,,Social Media Comparisons,"You notice there are a lot of attractive people posting pictures on a social media site. You are a bit uncomfortable posting a picture of yourself, but post anyway. You feel confident.",,Do you hold back from posting a picture of yourself because you do not feel as attractive the people you see in other social media posts?,No,,https://drive.google.com/file/d/1sVKizgA3QnMOtyy7qNs8X9ndbUMsWmuE/view?usp=sharing,2,1
5,1,Positive,Social Situations,,,Finding a Place to Sit,You are at your first staff meeting in a new department and you arrive early. A group of people goes quiet after you ask them if you can sit at their table. They are probably nice.,N/A,Were the quiet people nice?,Yes,,https://drive.google.com/file/d/1T8fbtlJZcRwfzooXEoNBepkxSHE2HJjG/view?usp=sharing,2,1
,2,Positive,Social Situations,,,Attending Wedding Alone,"It is a long weekend, and you are invited to a friend's wedding. When you arrive to the venue you notice that many people have brought a plus one, and you came alone. You realize that you can still enjoy yourself at the wedding and get to know other guests even while being alone.",N/A,Do you enjoy yourself at the wedding?,Yes,,https://drive.google.com/file/d/1NMhgtm8VnCvrZsw5E6INJmkmxBzil_FZ/view?usp=sharing,2,1
,3,Positive,Social Situations,,,Second meet-up,"At a dinner party, you are introduced to someone new and chat with them for quite a while. When you call them the next week to suggest meeting again, they pause for a moment. They probably think that getting together would be great.",N/A,Does your new acquaintance want to meet with you again?,Yes,,https://drive.google.com/file/d/1TUZM7VRE-kaXxaSnsiFIuTIx8VaTSuqG/view?usp=sharing,2,1
,4,Negative,Social Situations,Physical Health,,Risky Behavior,"You've been limiting your gathering sizes and wearing masks when in public spaces. Your boss, on the other hand, has been telling you about the parties they've been attending. You want to talk to them about it, because you fear they might bring COVID to your meetings, but you think it will start a fight",N/A,Are you worried that telling your boss how you feel will cause problems?,Yes,,https://drive.google.com/file/d/1F22CaNjUJP66pzgamhIjFWak5wAkLxca/view?usp=sharing,2,3
,5,Positive,Social Situations,,,Spotting a friend,"As you are walking down a crowded street, you see your coworker on the other side. You call out, but they do not answer you. Standing there in the street, you think that this must be because they were distracted.",N/A,Did your coworker purposely ignore your call to them in the street?,No,,https://drive.google.com/file/d/1ed7CaenQ9rbkqDg31nHg13-TRsdjeflf/view?usp=sharing,2,2
,6,Positive,Social Situations,,,An organized outing,"You organize a day outside with your friends. The outing does not go very well, and you feel discouraged. As you head home, you think that others thought the event did not go well because of the rain.",N/A,Your friends did not enjoy the outing because ...,The weather was unpleasant.,You planned it poorly.,https://drive.google.com/file/d/1DUJ30Sl4i34yGG5leZIL91AAOYQypycm/view?usp=sharing,2,1
,7,Positive,Social Situations,Academics/Work/Career Development,,Optional presentation,"Your boss has hired a few interns for the summer. They ask you to stay after work to give the interns a brief presentation about the company's goals and values, but tells you that this is completely optional. You feel a little nervous about giving the presentation, and you decide to stay.",N/A,Do you stay to give the optional presentation?,Yes,,https://drive.google.com/file/d/1f7AX8AtByV-EKIO86OXhrR2a6P9gCwXU/view?usp=sharing,2,2
,8,Resilience/Negation,Social Situations,,,No Weekend Plans,It's Saturday and you have no plans for the day. You realize you haven't seen your friends in awhile and wonder if you are drifting apart. You think they may have forgotten about you.,"You understand everyone has busy lives and it is harder to get together. You have been good friends for a long time, and it will take more than some time apart to hurt these friendships. You decide to reach out yourself.",Have your friends drifted apart from you?,No,,https://drive.google.com/file/d/1WprnNTr-lwJIy8bPx1_XS9PE6E6RaPPg/view?usp=sharing,2,1
,9,Resilience/Negation,Social Situations,Academics/Work/Career Development,,Recovering From a Mistake,You are giving a presentation at a meeting and accidentally skip a section so have to start again. You are embarrassed by the mistake and worry what the audience thought of you. The audience probably thinks your delivery after starting over was awkward.,"Later that day, you realize that it is common to make mistakes when presenting. The audience probably thought your delivery after starting over was admirable.",Do you think that the audience thought of you as awkward for making a mistake?,No,,https://drive.google.com/file/d/10fLWhto09ulpTOoQ_oICa06UK6vWzttW/view?usp=sharing,2,3
,10,Positive,Social Situations,,,Conversation with Stranger,"You are at a birthday party for a friend and talking with someone you just met. You cannot tell whether the person thinks you are interesting or boring, and you decide that not knowing is okay.",N/A,"Overall, the conversation was probably a ...",Low-pressure and pleasant chance to meet a new person.,"Stressful situation, because the person might have found you uninteresting.",https://drive.google.com/file/d/1xYq4Dvk8Dk8PkSkRy32Uyga7CXkJ8vAX/view?usp=sharing,2,2
6,1,Positive,Social Situations,,,Entering a nightclub,"You are out of town visiting friends and decide to go out dancing. Walking into a nightclub for the first time, you feel that the things around you are very unreal. This is interesting.",N/A,The lights and sounds of the club make you feel ...,Excited and lively.,Disoriented and scared.,https://drive.google.com/file/d/1gTUlz1D2Dwpj9xB2ihIEsUZXzfXYzERs/view?usp=sharing,2,1
,2,Resilience/Negation,Social Situations,,,Critical Friend,"You are having a conversation with your best friend of many years. During the conversation, they criticize you, saying that they don't think your job is worth pursuing. You wonder whether you should remain friends with them. ","After thinking about it, you realize that people don't have to agree with everything you do. You love your friend and will continue to be friends with them. ",Are you going to let a disagreement ruin your friendship?,No,,https://drive.google.com/file/d/13C46DCNwa01dfLqreKVRIq8Gnv03aKQI/view?usp=sharing,2,1
,3,Positive,Social Situations,Academics/Work/Career Development,,Speaking Up at Work,Your boss is talking about one of your role models in your field of work during a meeting and she asks if anyone knows about their work. In front of everyone you quickly raise your hand and your colleagues turns to you. You realize that you feel confident.,,Are you embarrassed that you raised your hand?,No,,https://drive.google.com/file/d/1qGMXNyoVsjti9RZVA8vAZ6RjVRacfgBv/view?usp=sharing,2,1
,4,Positive,Social Situations,,,Social Media Self-Confidence,"You meet an attractive new coworker during a meeting. After work, they request to follow you on social media. Before you let them follow you, you look over your own feed and feel confident.",N/A,Are you worried about what the other person thinks of your feed?,No,,https://drive.google.com/file/d/1PNlqc0Jg4bm9KOsakVSsKmJDaQwqLGrB/view?usp=sharing,2,1
,5,Resilience/Negation,Social Situations,Physical Health,,COVID Fear,"Your friend has been coughing for a few days and when you ask them to get tested, they refuse, saying they shouldn’t have to because they weren’t exposed. You want to talk to them about it and understand their perspective, but you're worried about how they will react.","You decide to talk to your friend, and learn that they were avoiding getting tested because they lacked information about the process. You tell them what you know and feel glad you were able to provide support. ",Were you able to help your friend?,Yes,,https://drive.google.com/file/d/1uhh5L7klH8OgV65X8ksU7J-lH6GYnN4-/view?usp=sharing,2,3
